19062421	36	11
19062421	39	20
19062421	49	15
19062431	17	56
19062431	10	6
19062431	13	17
19062521	2	7
19062521	51	2
19062521	1	28
19062531	9	14
19062531	55	30
19062531	26	1
19062542	2	60
19062542	57	56
19062542	16	29
19062621	22	41
19062621	14	35
19062621	3	42
19062622	9	40
19062622	7	6
19062622	58	44
19062641	9	22
19062641	7	42
19062641	48	39
19062722	57	21
19062722	60	59
19062722	35	17
19062731	19	19
19062731	44	20
19062731	31	9
19062732	33	41
19062732	54	56
19062732	41	56
19062811	2	31
19062811	53	22
19062811	29	35
19062831	39	36
19062831	46	40
19062831	1	36
19062832	12	42
19062832	55	15
19062832	12	42
19062841	56	41
19062841	3	56
19062841	47	17
19062842	44	47
19062842	21	13
19062842	35	3
19070121	6	4
19070121	2	12
19070121	23	34
19070142	60	7
19070142	15	26
19070142	41	5
19070212	14	45
19070212	44	33
19070212	60	52
19070221	57	50
19070221	10	49
19070221	51	36
19070222	30	20
19070222	30	18
19070222	43	60
19070231	26	10
19070231	55	60
19070231	42	10
19070241	24	48
19070241	1	54
19070241	5	56
19070242	58	22
19070242	7	56
19070242	15	24
19070311	7	57
19070311	5	26
19070311	49	20
19070312	49	26
19070312	10	27
19070312	10	3
19070321	39	42
19070321	16	18
19070321	49	13
19070322	47	54
19070322	41	55
19070322	4	19
19070331	22	40
19070331	9	22
19070331	36	12
19070412	58	21
19070412	16	49
19070412	31	29
19070421	28	49
19070421	51	17
19070421	58	15
19070431	28	15
19070431	8	27
19070431	22	20
19070442	46	32
19070442	24	58
19070442	1	27
19070522	40	57
19070522	50	1
19070522	59	4
19070531	15	7
19070531	37	13
19070531	11	12
19070532	37	7
19070532	42	58
19070532	23	8
19070541	23	9
19070541	29	36
19070541	27	28
19070831	58	60
19070831	37	19
19070831	11	15
19070841	25	5
19070841	5	1
19070841	18	52
19070912	28	27
19070912	6	49
19070912	38	30
19070921	44	18
19070921	29	55
19070921	35	15
19070922	23	33
19070922	45	22
19070922	48	53
19070931	12	3
19070931	21	9
19070931	16	52
19070942	28	22
19070942	15	20
19070942	19	30
19071011	26	59
19071011	5	57
19071011	6	44
19071021	3	28
19071021	43	17
19071021	25	11
19071022	6	59
19071022	24	14
19071022	34	26
19071032	23	58
19071032	16	24
19071032	44	3
19071041	28	20
